"","lat","lon","Complaint.Type","Identifier","Severity"
"10601",43.020848,-76.141769,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","077.-15-14.0",13
"10620",43.06691,-76.111631,"Property Maintenance-Ext; Building W/O Permit","024.-19-12.0",12
"10621",43.031262,-76.154433,"Property Maintenance-Ext; Property Maintenance-Ext","086.-10-13.0",12
"10645",43.04178,-76.16862,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","097.-04-12.0",14
"10647",43.0636397,-76.1447133,"Property Maintenance-Ext; Property Maintenance-Ext","009.-23-29.0",12
"10649",41.4821325,-75.1828988,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","086.-05-17.0",13
"10671",43.065612,-76.156469,"Property Maintenance-Ext","007.-19-12.0",11
"10674",43.053924,-76.189532,"Sewer Back Up","112.-24-04.0",11
"10675",42.6558504,-70.9332058,"Property Maintenance-Ext; Property Maintenance-Ext","026.-13-04.0",12
"10684",43.068286,-76.101542,"Property Maintenance-Ext","024.-11-04.0",11
"10685",43.034383,-76.162098,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","093.-12-34.0",13
"10712",43.029985,-76.146809,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","084.-03-38.0",14
"10717",43.046196,-76.185264,"Blocked/Locked Exits; Blocked/Locked Exits; Blocked/Locked Exits; Cert of Use - Bar; Cert of Use - Bar","110.-11-29.1",15
"10723",43.050561,-76.166436,"Property Maintenance-Ext","105.-08-24.0",11
"10738",43.069965,-76.135069,"Property Maintenance-Ext; Property Maintenance-Ext","013.-19-14.0",12
"10745",43.053527,-76.123624,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","029.-19-12.0",13
"10747",43.035677,-76.168571,"Property Maintenance-Int; Property Maintenance-Int","092.-12-07.0",12
"10749",43.018457,-76.151523,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","075.-06-07.0",13
"10755",43.0697199,-76.107819,"Property Maintenance-Ext","024.-04-09.0",11
